date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:13	110/110	---M-Z	200	added ('OK')	text/plain	date:Fri,%2031%20Mar%202023%2010:06:13%20GMT	https://weblearnbd.net/robots.txt		(from )
13:06:15	154895/154895	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Mar%202023%2010:06:14%20GMT	https://weblearnbd.net/wp/collax/	C:/My%20Web%20Sites/article%20template/weblearnbd.net/wp/collax/index.html	(from )
13:06:15	97517/97517	---M-Z	200	added ('OK')	text/css	etag:%2217ced-64251b3a-f8d6a8756ddb9dc0;gz%22	https://weblearnbd.net/wp/collax/wp-includes/css/dist/block-library/style.min.css?ver=6.2	C:/My%20Web%20Sites/article%20template/weblearnbd.net/wp/collax/wp-includes/css/dist/block-library/style.minae48.css	(from https://weblearnbd.net/wp/collax/)
13:06:16	40465/40465	---MCZ	200	added ('OK')	application/rss+xml	etag:%220c8325698c9d2b144b1cbceb9a1aef09%22	https://weblearnbd.net/wp/collax/feed/	C:/My%20Web%20Sites/article%20template/weblearnbd.net/wp/collax/feed/index.html	(from https://weblearnbd.net/wp/collax/)
13:06:17	10435/10435	---M-Z	200	added ('OK')	text/css	etag:%2228c3-63f0689d-f3bc5a6d97057457;gz%22	https://weblearnbd.net/wp/collax/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.6.6	C:/My%20Web%20Sites/article%20template/weblearnbd.net/wp/collax/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style174f.css	(from https://weblearnbd.net/wp/collax/)
13:06:17	1255/1255	---M-Z	200	added ('OK')	application/rss+xml	etag:%220c8325698c9d2b144b1cbceb9a1aef09%22	https://weblearnbd.net/wp/collax/comments/feed/	C:/My%20Web%20Sites/article%20template/weblearnbd.net/wp/collax/comments/feed/index.html	(from https://weblearnbd.net/wp/collax/)
13:06:17	258673/258673	---M-Z	200	added ('OK')	text/css	etag:%223f271-64251b39-327540955ecbe63;gz%22	https://weblearnbd.net/wp/collax/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.6.6	C:/My%20Web%20Sites/article%20template/weblearnbd.net/wp/collax/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style174f.css	(from https://weblearnbd.net/wp/collax/)
13:06:17	291/291	---M--	200	added ('OK')	text/css	etag:%22123-64251b3a-9f477c45465df622;;;%22	https://weblearnbd.net/wp/collax/wp-includes/css/classic-themes.min.css?ver=6.2	C:/My%20Web%20Sites/article%20template/weblearnbd.net/wp/collax/wp-includes/css/classic-themes.minae48.css	(from https://weblearnbd.net/wp/collax/)
13:06:18	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b2b-64251b1d-d628abd7edc44150;gz%22	https://weblearnbd.net/wp/collax/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.5.1	C:/My%20Web%20Sites/article%20template/weblearnbd.net/wp/collax/wp-content/plugins/contact-form-7/includes/css/styles3960.css	(from https://weblearnbd.net/wp/collax/)
13:06:18	1750/1750	---M-Z	200	added ('OK')	text/css	etag:%226d6-6302f9df-444c080b1d83d091;gz%22	https://weblearnbd.net/wp/collax/wp-content/plugins/woo-smart-quick-view/assets/libs/slick/slick.css?ver=6.2	C:/My%20Web%20Sites/article%20template/weblearnbd.net/wp/collax/wp-content/plugins/woo-smart-quick-view/assets/libs/slick/slickae48.css	(from https://weblearnbd.net/wp/collax/)
